user_id,event,timestamp
79005,product_visit,2015-02-14 14:45:11.000000000
78397,account_verified,2015-02-02 08:32:11.000000000
78710,account_verified,2015-01-28 12:04:09.000000000
78312,signup,2015-01-13 15:53:40.000000000
78776,product_visit,2015-01-20 08:17:59.000000000
78303,signup,2015-01-30 19:09:40.000000000
78532,account_verified,2015-01-11 13:54:19.000000000
78733,account_verified,2015-01-29 10:48:54.000000000
79082,signup,2015-01-17 00:15:34.000000000
78681,product_visit,2015-01-17 22:05:19.000000000
78376,product_visit,2015-01-24 08:59:27.000000000
78758,product_visit,2015-03-08 20:25:08.000000000
78540,product_visit,2015-01-18 20:15:50.000000000
78351,signup,2015-01-14 04:31:44.000000000
78503,product_use,2015-01-27 01:00:04.000000000
78992,account_verified,2015-01-06 18:10:09.000000000
78748,signup,2015-01-05 16:18:36.000000000
78972,signup,2015-01-13 00:45:14.000000000
78501,account_verified,2015-01-31 06:56:46.000000000
78482,product_visit,2015-02-07 00:49:16.000000000
78506,product_use,2015-02-03 12:36:22.000000000
78775,signup,2015-01-17 00:28:04.000000000
78971,account_verified,2015-01-28 06:36:54.000000000
79099,signup,2015-01-29 17:26:43.000000000
78650,signup,2015-01-14 01:14:09.000000000
78499,product_visit,2015-02-03 06:17:39.000000000
78783,account_verified,2015-01-15 20:33:09.000000000
79158,product_visit,2015-02-24 08:54:44.000000000
78619,signup,2015-01-16 10:43:45.000000000
78465,account_verified,2015-01-20 19:08:49.000000000
78910,product_visit,2015-03-21 22:01:15.000000000
78373,signup,2015-01-05 10:32:50.000000000
78587,product_visit,2015-03-16 18:51:21.000000000
79261,product_visit,2015-01-26 16:20:48.000000000
78379,signup,2015-01-30 02:14:34.000000000
78866,product_visit,2015-01-28 04:59:46.000000000
78587,signup,2015-01-12 11:34:08.000000000
78569,product_use,2015-02-03 11:11:24.000000000
78934,product_visit,2015-02-03 01:51:59.000000000
79146,product_visit,2015-01-29 22:02:46.000000000
78804,product_visit,2015-01-14 07:37:48.000000000
79192,product_use,2015-01-14 01:20:36.000000000
79068,product_visit,2015-01-29 20:25:53.000000000
78792,account_verified,2015-02-01 08:19:44.000000000
78350,account_verified,2015-01-20 15:36:17.000000000
78437,signup,2015-01-29 16:24:06.000000000
79080,product_use,2015-03-08 23:11:14.000000000
79029,account_verified,2015-01-10 11:47:11.000000000
78936,product_visit,2015-02-07 13:58:03.000000000
78832,product_visit,2015-01-21 00:00:40.000000000
78801,product_visit,2015-01-25 11:35:17.000000000
78314,signup,2015-01-07 14:33:30.000000000
79240,signup,2015-01-29 12:51:28.000000000
78408,account_verified,2015-01-04 08:41:37.000000000
78463,signup,2015-01-18 11:55:31.000000000
79090,account_verified,2015-01-05 07:45:10.000000000
79041,product_visit,2015-02-01 13:54:32.000000000
78312,product_visit,2015-02-10 00:01:42.000000000
79258,account_verified,2015-01-23 20:38:02.000000000
79127,product_visit,2015-03-23 03:46:57.000000000
78275,product_visit,2015-01-25 19:36:17.000000000
